Title,Summary
"Zizi Limona","Zizi Limona, which opened in Williamsburg in September, cultivates an air of unhurry, and as for the name, it is happy nonsense, invented by the owners, veterans of Middle Eastern establishments in Manhattan who wanted to be free of culinary or geographic limitation."
"Mable’s Smokehouse","Mable's brings the smoky style of Oklahoma City barbecue to Williamsburg."
"All'onda","At All'onda, it’s as if an Italian menu had a raging crush on Japan and couldn’t stop bringing it up in conversation."
"Gastronomia Culinaria","Gastronomia Culinaria feels true to a certain type of small Roman trattoria where the food is plain-spoken and the pricing temperate."
"Contra","Jeremiah Stone and Fabian von Hauske have a personal, understated, modern approach to deeply seasonal cooking."
"Beach Bistro 96","Carlos Vallera, who grew up in the Brazilian port town Santos, opened this low-slung sea shack a block from Rockaway Beach after another life as a pro surfer and model."
"Giuseppina","A simple corner restaurant with ties to Lucali in nearby Carroll Gardens and good brick-oven pizza."
"Taste of Persia NYC","At Taste of Persia NYC, a takeout counter tucked into a utilitarian pizzeria on 18th Street, Saeed Pourkay serves his justly fabled ash reshteh, a wondrous, wintry, outrageously thick Persian soup, along with rustic stews that have been simmered for hours."
"Chez Sardine","Chez Sardine offers the kind of izakaya where a bite-size piece of hamachi sushi is crunchy with fried pork rinds, and where sashimi is slipped in among a stack of flapjacks."
"Coals","Coals is unlike any other pizza place in the Bronx--or in the rest of the city, for that matter. The pies it slings are not coal oven, wood oven or oven baked at all. They are grilled."
"Sam’s Spring Roll","Here, a spring roll might hide the soft heart of an Indian samosa, or reveal an interior of ground chicken perfumed with cumin, a borrowing from northwestern China, and the sauces — including a voluptuous chimichurri mellowed by Greek yogurt and a nervy synthesis of fishy sauce, cilantro, garlic and Thai bird chiles — redeem even wayward experiments at Sam's Spring Roll."
"Hakkasan New York","This multimillion-dollar exercise in Orientalism off Times Square is the seventh in a global chain started in London."
"606 R & D","Playful, modern food, seriously good, with a soft spot for childhood snacks and seasonal produce."
"Colonie","With a handsome bar in front and a sepia-toned, brick-walled dining room in back, this restaurant serves a mostly solid farm-to-table menu of haute American food."
"Hirohisa","Hirohisa is a kappo-style restaurant, a form of Japanese dining in which the chef makes both hot and cold dishes behind a counter."
"Onegin","Big and over the top like the palatial Russian restaurants of Brighton Beach, but it offers few of their pleasures."
"Lhasa Fast Food","The cooking at Lhasa Fast Food — cauldrons of dusky broths, heavy with hand-torn scraps of dough and humming with Sichuan peppercorns; momos looking ready to burst their pleats — would be worth seeking out even if it were served in a sleek food hall in Midtown Manhattan."
"Lupa","Lupa has long been a destination for the simple but delicious preparations of Lazio, the region of Italy centered around Rome."
"Lucky Strike","Frenchish food, lots of models."
"Great Northern Food Hall","There’s something utopian about the notion that even a hasty, inconsequential meal, gobbled on a train or at a desk, can be — should be — fresh and good. That’s the mission of this impeccably polished food hall, opened in Grand Central Terminal by the Danish restaurateur Claus Meyer, a founder of Noma, in Copenhagen, and a prime mover in defining New Nordic cuisine."
"Morandi","Having played with French conceits at Balthazar and Pastis, the restaurateur Keith McNally turns to Italian ones at Morandi, where he teams up with the talented chef Jody Williams."
"Soba Totto","At Soba Totto, couples should opt for the yakitori bar, where there's plenty of elbow room and the opportunity to watch the cooks tend to skewers."
"Lavo","An Italian restaurant serving large portions, set above a nightclub on East 58th Street."
"Bago","Almost everything is under $10 at Bago, a modest Filipino restaurant in the East Village where dishes are cooked to order and brought to your table or counter."
"Il Buco Alimentari e Vineria","This sibling to the original Il Buco, on Bond Street, is the city’s most complete realization so far of a powerful myth: the simple and convivial restaurant that tastes just like Italy."
"Kum Gang San","Good for Korean barbecue; open all night."
"Sessanta","A polished and urbane setting, more negroni than chianti, where the kitchen draws on the cooking of southern Italy."
"Vivolo","This venerable Italian restaurant in an East Side town house presents several dining options, including a comfortable dining room, a quicker, more casual cafe, and a takeout service."
"La Tarte Flambée","La Tarte Flambée aspires to the spirit of a traditional Alsatian winstub, or tavern, minus the checkered tablecloths."
"Bread","If you're going to call your Café Bread, the bread had better be really good. On that score, this little Italian Café does not disappoint."
"Patroon","At a renovated Patroon, the doorman is gone, the cigar bar is history and, on the menu, simplicity rules."
"La Fonda del Sol","The Spanish food coming out of a kitchen run by Josh DeChellis is surely executed and, more often than not, very appealing."
"Monument Lane","Pork potpie, sautéed brown trout and lobster rolls in a setting that evokes an early American tavern."
"Il Cantinori","The room is attractive, but prices are high and the food is uneven."
"Hanamizuki","At this Japanese cafe, the rice balls (onigiri or omusubi in Japanese) are slightly offbeat, as if sprung from a Haruki Murakami novel. The menu is designed mostly for snacking."
"Cho Dang Gol","Small and spare, this attractive restaurant features dishes with the tofu made daily on the premises."
"The Mercer Kitchen","Mercer Kitchen occupies a sexy underground space with a darkness that flatters the food as well as the diners. The food needs it."
"Miyagi","The biggest thing about Miyagi is the menu, which has many familiar choices and just enough offbeat selections to keep things interesting."
"La Grenouille","Gorgeous flowers, fine service, rich people and a menu written entirely in French."
"Joe's Ginger","Joe's Ginger in Chinatown offers Sichuan-style food with a nod to Hong Kong tastes."
"Max Brenner, Chocolate by the Bald Man","At the East Village chocolatier Max Brenner, many of the confections aren’t as rich as great chocolate can be and the regular food isn’t especially appealing either."
"Second Avenue Deli","To eat at the new Second Avenue Deli is to pass through a communal storehouse of memories, on a bridge of babkas from the past to the future."
"Cherry","It is hard not to feel vexed at Cherry, which promises so much and proves such a tease."
"Lulu & Po","On a residential corner of Fort Greene, a brisk 10 minutes from the nearest subway and two ill-lighted blocks north of the restaurants clustered on DeKalb Avenue, Lulu & Po feels hidden."
"Bistro SK","Bistro SK is an improbably authentic and intimate French bistro in a remote nautical enclave of the Bronx."
"An Choi","The culinary thrill of Vietnamese streetside dining combined with the camaraderie of a Lower East Side hangout."
"L'Absinthe","Chef Jean-Michel Bergougnoux makes some of the city's best old-fashioned food; unfortunately if you are not a regular customer, it is served with a dose of attitude."
"Hot Kitchen","The word “hot” does not adequately convey the seemingly infinite shades of heat that ripple through this small, unpretentious Sichuanese restaurant, a minimalist canteen in whitewashed brick and red beams that is closer in geography and spirit to N.Y.U. than Chinatown."
"Toloache","Despite its strange purple facade, this Mexican bistro is worth a second look."
"Spicy Lanka","The menu for this Sri Lankan restaurant is terse and cryptic; best just to ask for recommendations, like pittu, squat columns of roasted rice flour, steamed with pandan leaves and adorned with icing-white curls of coconut."
"Risotteria","Although Risotteria also offers a wide selection of panini and salads, its namesake is its standout dish. And you can take it with you."
"The Moxie Spot","A Chuck E. Cheese for hipsters in brownstone Brooklyn."
"Almayass","Family values set the tone for the whole experience of eating at Almayass."
"BLVD Bistro","Carlos Swepson, a New York chef with roots in Natchez, Miss., is not reinventing the Southern-food wheel, but he is trying to make it a smoother ride. His best food — like wood-smoked chicken, crisp wild grouper with a cornmeal crust, and exemplary Southern potato salad (with chopped hard-boiled eggs) — is pressed right up against tradition, but tweaked for modern taste."
"Perla","Perla serves a swaggering, red-blooded version of Italian food in a space designed to look like it's been around for decades."
"Acme","One of the founding chefs of Noma in Copenhagen treats familiar ingredients with an uncommon gentleness and respect."
"La Morada","La Morada’s married owners, Natalia Mendez and Antonio Saavedra, were once farmers in Oaxaca, which is one of the poorest states in Mexico but whose cuisine is among the country’s richest. While much of the menu is taken up by tacos and quesadillas, a few dishes offer a glimpse of the “infinite gastronomy” that is Oaxacan cooking."
"No. 7 Sub","At this takeout shop, a Manhattan offshoot of the venturesome Brooklyn restaurant No. 7, sandwiches are stuffed with disparate ingredients, with delicious results."
"Pulqueria","Small plates Mexican style, with tequila-laced drinks."
"Paradou","Paradou is a panini shop born of a different Mediterranean coast where the specialty is 'sandwichs grillés,' as they would say in Provence."
"Piora","Chris Cipollone’s cooking dips into Korean cuisine, but before you file it under Asian fusion, be aware that the one thing you must do at Piora is eat some pasta."
"Loreley","Loreley, an urban beer garden, has a simple but satisfying menu."
"ABV Wine Bar","Childhood nostalgia, machismo, plus a dash of stick-it-to-the-man: this pretty much sums up the attitude behind ABV Wine Bar. ABV’s take on comfort food that is less reinvention than merry spree, artisanal ingredients and avant-garde technique in service of the munchies."
"Empellón Cocina","Alex Stupak’s mash note to the food of Mexico resembles its inspiration the way dreams resemble life."
"Convivium Osteria","Much but not all of the time, Convivium, which has the spirit of a particularly fine neighborhood place, serves satisfying food."
"Tempura Matsui","A serene Japanese cloister serving no-choice kaiseki-style menus."
"Houseman","You don’t taste Houseman’s food in politely appreciative nibbles, you throw yourself at it until there’s nothing left. No menu layout can convey this quality, but when you find a restaurant that has it, you come back."
"Indian Accent","A Midtown branch of an acclaimed restaurant in New Delhi, Indian Accent feeds the desire to see traditional cuisine twisted, bent and played with."
"No. 7","No. 7 is a comfortable restaurant with comfortable prices, but instead of comfort food it does big-city, night-on-the-town chef food."
"The Lambs Club","A clubbish and warm restaurant in the lobby of the Chatwal Hotel that is a kind of Sardi’s for the modern age."
"Khe-Yo","Khe-Yo tentatively introduces New Yorkers to the food of Laos, which has been largely missing from the city."
"Petrossian Cafe And Boutique","Freshness is paramount at this cafe and bakery."
"Zoma","The modish, minimalist décor tips you off that things are a little different at Zoma, an Ethiopian restaurant just north of Central Park."
"The Park","When there's a 30-foot tree in the center of the dining room, you get the feeling that food is not the main thing."
"Crazy Crab 888","Crazy Crab 888 is a former bodega turned Burmese-Yunnanese-Malaysian-Thai restaurant and aspiring Cajun crab shack."
"Nix","Liberated from the ideologies of vegetarianism, Nix is free to pursue the hedonic values of vegetables."
"Ay Kitchen","The Turkish tastes at this Murray Hill restaurant range from bold (pan-fried calf’s liver, kofte, tarama) to a bit too mild (unspicy “spicy"" chicken adana kebabs, bland octopus or white bean salads)."
"Mermaid Inn Uptown","A reasonably good seafood restaurant in the East Village, the Mermaid Inn is frustratingly mediocre in its uptown location."
"Aperitivo","Wood-burning ovens fire up pizzas of varied geometry and toppings, plus the restaurant offers a broader Italian menu."
"Palm","First-rate steakhouse food, at least if you stick to the original script of salad and tangy, prime-rated beef, or salad and massive, perfectly acceptable lobster, along with potatoes and greens."
"Joe","Joe, which has a handful of branches around town, makes a macchiato that is a work of art."
"Kum Gang San","Good for Korean barbecue; open all night."
"Donguri","Unlike the many Japanese restaurants in Manhattan that treat food as one of many props in a broader theatrical production, Donguri focuses your attention squarely on what's on the plate."
"Pylos","Pylos is a conscientious ambassador of Greek cooking and a standout among Manhattan's Greek restaurants."
"Plaza Xochimilco","The cooks at Xochimilco go full-tilt with their taco garnishes: onions, cilantro, tomato and a generous smear of creamy guacamole."
"High Street on Hudson","Serious and creative all day long, High Street on Hudson understands that coffee and a great pastry can be just as meaningful before noon as an artfully plated duck breast is after dark."
"The Smoke Joint","Southern.  Barbecue."
"La Chine","Chinese cooking with generally excellent ingredients in preparations that climb the slopes of creativity."
"Jones Wood Foundry","The mission to convince New Yorkers that British food is delicious continues at this cheeky, food-driven gastropub."
"Osteria del Circo","It's hard to think of a restaurant that works harder at fun than Osteria del Circo, but ultimately, the food is nothing special.

delivery and takeout via seamlessweb.com ONLY."
"Barraca","At Barraca, his casual new tapas spot in the West Village, what you see is what you get."
"Lucky Luna","At Lucky Luna, a Mexican-Taiwanese restaurant, you'll find posole and tacos, congee and steamed bao buns. The excitement lies in unexpected details, like a house-made hot sauce that starts off Chinese, with a hit of vinegar, and finishes Mexican, with a swaggering heat."
"Yama","The trend is downhill for this highly popular and formerly excellent Japanese restaurant."
"Marea","The latest jewel in the crown of Chris Cannon and chef Michael White, Marea has a menu probably best described as coastal."
"Amáli","Amáli was once Persephone, a haute Greek restaurant in the stoic Upper East Side mode."
"Lucien","This crowded, smoky, somewhat disheveled little French place serves old-fashioned homey meals."
"Semilla","Semilla’s chef, José Ramírez-Ruiz, and pastry chef, Pam Yung, stack their tasting menus with dishes that weren’t concocted to please the marketplace. Diners browse extensively upon stems, tubers, rhizomes, seeds and other plant parts, yet this isn’t a vegetarian restaurant."
"Caffébene","The first American outpost of one of South Korea’s largest coffee chains proves that high-quality coffee can be executed on a large scale."
"Khao Kang","At Khao Kang, there is no menu or wait service. Food is premade and presented cafeteria style."
"Han Dynasty","Han Chiang’s chain of Sichuan restaurants has been so popular in and around Philadelphia that Mr. Chiang plans to open 100 locations around the country. There are quite a few towns where this would be great news, but Manhattan has far better Sichuan kitchens."
"The Mark Restaurant by Jean-Georges","From the chef Jean-Georges Vongerichten, a simple two-star restaurant for a neighborhood that doesn’t want to be pushed too hard in any one direction."
"Apiary","Ligne Roset, the French furniture company, co-owns this restaurant with Jenny Moon, who worked at Daniel and Tabla."
"Il Buco","Il Buco has put much effort, if not more, into creating a Mediterranean menu as beguiling as its antiques-strewn dining room."
"Tres Carnes","It's an alluringly simple idea: Take some Lone Star-quality barbecue and put it into tacos and burritos. You’ll encounter an abundance of sides and fillings as you make your way down the Chipotle-style assembly line."
"Market Table","What makes Market Table work are precisely those attributes supposedly prized most in anxious times. What makes it special is how expertly it embodies them."
"Santina","From the team behind Dirty French and Carbone, an Italian ode to eternal sunshine inside a glass-box building under the High Line."
"Cafe SFA","This large airy room is a blessing for the weary legs and bag-laden arms at Saks Fifth Avenue."
"Al Safa","An unassuming Lebanese restaurant in Bay Ridge."
"Chomp Chomp","Like going from hawker stall to hawker stall without leaving your seat."
"Kajitsu","Kajitsu practices an animal-free cooking tradition called shojin-ryori that was developed in Zen Buddhist monasteries over many centuries."
"Untitled","Although the restaurant is on the ground floor of the Whitney Museum of American Art, it is resolutely uninterested in arty food."
"Landmarc","Nothing about Landmarc is high concept, but the restaurant proves that simple, competent cooking goes a long way."
"At Vermilion","It's interesting that Indian and Latin American cuisines share some key flavors — tamarind, lime, cumin, chilies, mango — but not interesting enough to sustain at At Vermilion."
"Mo Gridder's BBQ","Barbecued ribs are supposed to be meat, not pablum, and the crew at Mo Gridder's gets that."
"Hell's Kitchen","The chef Sue Torres specializes in creatively using Mexican flavorings and cooking techniques."
"Aldea","The chef George Mendes and Aldea, his Portuguese restaurant, are unusually ambidextrous, as comfortable whipping up ethereal foams as scattering hunks of pork anywhere they can be defensibly scattered."
"Per Se","Thomas Keller’s grand, hermetic restaurant offers a protracted march of dishes, including several classics that are sometimes exquisite."
"Foragers City Table","Foragers City Table, which opened in April, is an annex to the boutique market Foragers City Grocer. Both are offshoots of Foragers Market in Dumbo, Brooklyn, which subscribes to the credo of local sourcing and sustainability."
"Balaboosta","Einat Admony’s charming and casual Middle Eastern trattoria with Israeli roots near the top end of Little Italy."
"Salvation Burger","At Salvation Burger, the chef April Bloomfield zeroes in on what the people want and dispenses with almost everything else; three of the five main courses are burgers, and all five come on a bun."
"Royal Seafood Restaurant","Royal Seafood has glinting chandeliers and the added benefit of serving food that is often very close to Cantonese cuisine, the original flavor of Chinatown, with enough modern Hong Kong flourishes to let you know that it’s 2012."
"Gemma","Gemma, in the ultra-fashionable Bowery Hotel, is a cheat sheet of an Italian restaurant."
"Quality Italian","A kind of clone of Quality Meats, a block away, with some Italian-American food grafted on for good measure, it is the restaurant that finally answers the question “What if we set lobster fra diavolo on fire?”"
"Aska","Over the past several years, few chefs have grown into their ambitions as dramatically and successfully as Aska’s, Fredrik Berselius. Aska, beneath the ribs of the Williamsburg Bridge in July, is his third restaurant; with each fresh incarnation, his modern Scandinavian, nature-boy cooking has taken a leap forward."
"Bon Chon","The New York flagship of a Korean chain that specializes in fried chicken."
"Ed’s Lobster Bar Kiosk","At six ounces of lobster meat, the flotilla-sized signature Ed’s roll is hard to sink, but the setting couldn’t be more pleasant."
"Harry Cipriani","After two-year renovation, the dining room gleams as brightly as ever, but the cooking is ordinary or careless for the most part, and the service is often confused."
"Mr. K's","The food is utterly unfrightening, even for those who have a fear of chopsticks."
"Gimme! Coffee","Gimme! Coffee has been counted among the city’s best coffee bars since it arrived in New York in 2003."
"Char No. 4","The name refers to the burn in a barrel for aging bourbon, one style of more than 150 American whiskeys poured with Southern-accented food in this spot."
"Thai Market","A blend of traditional and new, Thai Market conjures up Bangkok."
"Employees Only","Billed as an old New York speakeasy, Employees Only has stealthily Balkanized its menu."
"Peasant","When the formula works, Peasant sends out highly satisfying food, fresh and flavorful, with the rich tanginess that wood smoke imparts."
"Il Salumaio","Il Salumaio turns out satisfyingly nostalgic Italian fare."
"Café Altro Paradiso","A fantasy on the theme of a simple Italian cafe; the food can look and sound ordinary, but is often anything but."
"Union Square Cafe","In late 2009, as it closed in on the quarter century mark, Union Square's performance wasn't quite keeping pace with its favor, and the transcendent geniality of its atmosphere couldn't obscure moment-to-moment lapses in service and in cooking."
"Rôtisserie Georgette","If Rotisserie Georgette had a clock, its hands would be stopped at five minutes before nouvelle cuisine, when meat was carved to cover the plate and sauce came on the side and nobody turned down potatoes."
"Ground Support","Well-crafted espresso drinks in an airy SoHo space."
"Perbacco","With the arrival of a new chef, Simone Bonelli, in April 2008, the small Italian restaurant Perbacco ascended to a whole new level, worthy of its name, which means 'wow.'"
"Superiority Burger","New ideas fly through Superiority Burger’s kitchen so quickly you can almost hear them buzz by, which is what elevates the place above what it appears to be at first glance, a Shake Shack for vegetarians."
"Bite of Hong Kong","The trappings are classic at this Cantonese restaurant, and the menu is at once too vast and too pithy, but if you study it long enough, you will find dishes that speak to both the elegance and motley of eating in Hong Kong."
"Sido","These two Middle Eastern takeout shops offer fine vegetarian dishes."
"Falafel House","A tasty and trim little takeout shop on the Upper East Side."
"Tsukushi","Tsukushi's chef, Norihiko Manabe, has a real talent for orchestrating a meal."
"Momoya","This Japanese restaurant doesn't aim big, but it aims prudently and pleasingly."
"Pascalou","This likable neighborhood restaurant offers well-prepared French and Italian dishes."
"La Nacional","La Nacional can be frustratingly quirky, but when the platter of paella arrives, everything seems all right."
"Bond 45","This big, blunt restaurant has the look of a well-aged brasserie and features a vast antipasto and an encyclopedic menu."
"Onieal's Soho","Great looks, decent food and a smoker's paradise."
"Punjab","This is the 17-year-old satellite location of a bigger and older curry-in-a-hurry operation in eastern Queens."
"M. Wells Steakhouse","Discipline is not the strong suit of M. Wells Steakhouse, for better and for worse."
"Salvation Taco","This jammed and noisy restaurant inside the Pod, a new hotel in Murray Hill, offers small tacos in tortillas slightly bigger than an English muffin."
"Totto Ramen","A simple noodle shop."
"Mile End","A loving tribute to the deli tradition, whose guilty, cholesterol-laden pleasures are uplifted here with first-class ingredients."
"Betony","Bryce Shuman, the chef of Betony, worked under Daniel Humm at Eleven Madison Park for six years, and traces of Mr. Humm’s style show up in his cooking."
"Carbone","Carbone is a fancy red-sauce joint as directed by Quentin Tarantino."
"ABC Kitchen","A winsome sprawl on the ground floor of ABC Carpet & Home, created by Jean-Georges Vongerichten, that is haute organic."
"The Waverly Inn",""
"Caffe Vivaldi","Open for late-night java lovers and diners as well, Caffe Vivaldi serves a light menu."
"Da Umberto","The restaurant was more appealing when Tuscan was rare and Chelsea was exotic."
"Las Ramblas","Las Ramblas looks more like a tapas bar in Spain than much of its competition here in the city."
"Go! Go! Curry","Go! Go! Curry, the first American incursion of a chain peddling Japanese curry, features a short roster of toppings to complement a thick slick of dark curry sauce atop a pile of rice the size of a pitcher’s mound."
"Virgil's Real BBQ","Virgil's is full of show biz artifice, but the appreciation of barbecue is sincere, and the food is pretty good."
"Guh Song","Among the many Korean-Chinese restaurants that dot Queens. The jjajangmyun is particularly well done with a deeply flavored sauce."
"Africa Kine","Samba Niang and Kine (pronounced kee-nay) Mar, natives of Dakar, run this Senegalese restaurant in Harlem, where by day, women cook crowded, fragrant stews, primed with fermented dried fish and sea snail; men roast monuments of meat by night."
"Rocking Horse Cafe","With sharper flavors and a restoration of the clear tie to Mexican regional cooking, Rocking Horse has regained its footing."
"Joy Burger Bar","Joy is a sweet hangout for the best patty for blocks."
"Chinatown Brasserie","Chinatown Brasserie fuses refined versions of diners' favorite Chinese dishes with a recognizably hip stage that is not, for the most part, too tricked out.

Can order for takeout or delivery on seamlessweb.com."
"Miss Lily’s Bakeshop & Melvin’s Juice Box","A cheerful spot that’s part diner, part beachfront snack shack: a handful of tables, some bar stools at a counter, a pair of benches set outside."
"Ganso","Ganso is half-hidden on a bland tangent off the Fulton Street Mall in Downtown Brooklyn, at a midpoint between Armani Exchange and IHOP."
"Alimentos Saludables","This Mexican diner serves some of the best tamales in town, slapped on a paper plate and trussed in corn husks still damp with steam. Unshucked, they seem almost to breathe. The dough is soft and marbled with sauce, so that a little finds its way into every bite. Concepción Gonzalez, the chef, who started out selling tamales in front of a nearby church, is an efficient, motherly presence. A statue of baby Jesus in gold robes gazes pacifically from a glass case; Héctor Acosta might be singing merengue on the jukebox. The menu lists five varieties of tamales, most of which will be sold out by dinnertime, so come early."
"Sushi Nakazawa","The moment-to-moment joys of eating one mouthful of sushi after another can merge into a blur of fish bliss. But almost everything Daisuke Nakazawa cups in his hands and places in front of you is an event on its own."
"Sky Cafe","Lily Tjia started cooking, semi-secretly, for her neighbors in the growing Indonesian community of South Philadelphia. In 2010 she opened a restaurant in that city; four year later, she moved to Elmhurst, Queens, and opened another."
"Meskel Ethiopian Restaurant","Meskel Ethiopian serves meat, but their vegetable dishes are the best thing to happen to East Village vegetarians in a long time."
"Nightingale 9","The chef, Robert Newton — who was born in Arkansas and runs the Southern restaurant Seersucker a few doors down — borrows flavors across a distance, finding resonances between the cooking of Vietnam and that of his heritage."
"Asiate","At Asiate, the view and design outweigh the the food of Nori Sugie, whose cooking seems to have gotten muddled in the rarefied air."
"Bar Bolonat","The white napkins, polished stemware, sheer curtains and understated modern furniture at Bar Bolonat are all a determined bid for the kinds of diners who would steer clear of anything resembling a hummus hut. Energetic seasoning drives the cuisine, and can be seen in dishes like shrimp in a Yemenite curry, with a fiery shot of green zhug and a small round of fried bread called malawa to soak up the spicy, turmeric-gold coconut milk."
"Cafe Cluny","Cafe Cluny trades the swagger of a brasserie for the intimacy of a bistro."
"Gazala Place","Gazala Halabi makes pita and other baked goods on a saag griddle. The best way to get a taste of Druse cuisine is to order a platter of appetizers for the table and share it."
"Ambassador Grill & Lounge","Near the United Nations and popular with diplomats."
"Rucola","This Boerum Hill restaurant does the neighborhood proud with flavorful renditions of Northern Italian dishes."
"Strip House","Strip House is not so much a steakhouse as a catalog of hip references to the idea of a steakhouse, a kind of restaurant that really has no natural place in the heart of Greenwich Village."
"Souvlaki GR","Whitewashed walls and Aegean blue shutters invoke the Cyclades by way of the Lower East Side."
"Bouley","The baronial dining room and the lushness of David Bouley’s cooking make this a restaurant for sensualists and romantics."
"Motorino","Motorino pies are great hot out of the oven, five minutes later, 10."
"Taiwan Bear House","At Taiwan Bear House in Chinatown, biodegradable wooden boxes are packed with rice and topped with crusty pork chop, slabs of pork belly or chicken twice fried in the night-market style."
"Eataly","A retail love letter to Italy, with food stalls galore and five restaurants."
"Crêpes Canaveral","At this takeout stand the size of a carnival ticket booth, Jean-Christophe Henry makes Breton crepes from a family recipe that dates back to the late 19th century, and he encourages customers to eat inside the adjacent William Barnacle Tavern, to which Crêpes Canaveral is attached, a low-key, Celtic-leaning bar that was once the taproom of a Prohibition-era speakeasy and still looks it."
"Hatsuhana","Real connoisseurs sit at the downstairs sushi bar."
"Yaso Tangbao","Nearly everything on the menu at this informal restaurant summons up the streets of Shanghai, from the giant shaggy pork-belly meatballs called lion's heads, majestic and mystifyingly airy, to volcanic soup dumplings from a chef who made his name at the first Joe's Shanghai in Flushing, Queens."
"Smith & Mills","There's a place in any diner's arsenal for a nook like Smith & Mills, where the food takes a backseat to the lighting, the drinks flow freely and meals proceed at a leisurely pace."
"Pera Mediterranean Brasserie","Pera honors the Turkish culinary spirit. Its $46 meal of family-style platters of kebabs, along with tiny Turkish-style pizzas and an array of mezes, is a winner, though diners who stray to other areas of an uneven menu risk disappointment or at least boredom."
"Pilar Cuban Eatery","This tiny Cuban eatery on the border of Clinton Hill and Bedford-Stuyvesant turns out homey but complexly flavored food."
"Dakshin","It was a great pleasure to find lively spicing deliciously apparent in more than a few dishes at Dakshin."
"Chevalier","There is a lot to enjoy on Shea Gallante's menu at the ""brasserie de luxe"" Chevalier, but the restaurant is probably not meant for anybody who's in the habit of reading over the check before signing it."
"New Wonjo Restaurant","The food is lively and fresh at this Koreatown standby, from the banchan to the spicy cold noodles with egg and beef."
"Land Thai Kitchen","Land Thai Kitchen serves Thai food that is accessible, affordable, never greasy and on occasion interesting."
"Luke's Lobster","Barely bound, smartly spiced lobster rolls with meat plucked fresh from Maine waters."
"La Maison Du Chocolat","The prized confection at this dessert shop is the bittersweet bouche."
"The NoMad","The NoMad in the NoMad Hotel is operated by the same duo who run Eleven Madison Park in New York, and with this restaurant, they have done something rather novel and wonderful."
"Saltie","A tiny sandwich shop where breads are baked in-house and the dessert case is filled with 10 or more different pastries."
"Cafe Boulud","The former Daniel became casual and turned into a cafe — but what a cafe."
"El Papasito","A midtown Dominican restaurant."
"Laut","Hiding behind a pan-Asian menu is some of the best Malaysian food in Manhattan."
"HanYang BunSik","HanYang BunSik's dishes fall under the Korean category of bunsik, or snacks, including blood sausage embedded with sticky rice, kabocha porridge and a skewered hot dog with an airy crust of panko, like a corn dog from the fairy realm."
"Saxon & Parole","Saxon & Parole has an all-American, horsy-but-sleek ambience and a menu of modern surf and turf."
"La Vara","The newest vessel in the small and nimble Spanish armada commanded by Alex Raij and her husband and co-chef, Eder Montero, who also own Txikito and El Quinto Pino in Manhattan."
"Cookshop","Cookshop's virtuous approach to food which might be a bit much but for this: it's also allowing for a merry, heedless time."
"Caffe Buon Gusto","Low-end mix-and-match pasta places, and not bad for the price."
"Kuma Inn","Kuma Inn, serving a kind of Asian tapas, is an auteur restaurant if there ever was one, sprung entirely from the chef King Phojanakong's imagination."
"Bar Pitti","This casual Café adjacent to Da Silvano offers superbly simple Tuscan fare and draws a stylish, youthful crowd."
"Hibino","A menu that's an ode to tofu, coupled with a serene vibe."
"Cafe Condesa","Cafe Condesa's menu is simple, with reined-in flourishes and dishes that are creative enough to entice but not to challenge."
"David Burke Kitchen","A long, brightly lighted, almost-not-awkward space, serving yet another version of the chef David Burke's antic New American fare."
"Roberta's","The food at Roberta's, which is known for its pizzas, is as confident and relaxed as the scruffy clientele."
"Al di Là","Al Di La is an ideal neighborhood restaurant that's become much more than a neighborhood restaurant."
"Otto Enoteca Pizzeria","Otto is a pleasure in almost every way."
"Cafécito","Cafécito, a sweet little restaurant in Alphabet City, offers authentic Cuban dishes, tempered by contemporary American dietary customs."
"Babycakes","The vegan bakery’s stand on the Rockaway Beach Boardwalk."
"Redeye Grill","Huge and lively, with something for everyone on the menu."
"BLT Market","The adherence to trademark BLT touches, such as folksy bread at the start, prompts cynicism, but Laurent Tourondel seems to be making an earnest effort with the food."
"Spice Symphony","Spice Symphony specializes in a subset of Indian cooking that gleefully appropriates Chinese flavors to strange and often wondrous ends."
"Hunan Kitchen of Grand Sichuan","A spare and modern restaurant on Flushing’s Main Street with terrific food, devoted to the cuisine of Hunan province."
"Congee Bowery","A multilevel Chinese place with shark fins on display by the register and a private karaoke hall in the basement."
"Lobster Joint","A soothing, blue-hued space where drinks like a super-spicy Dark & Stormy go great with a tarragon-accented lobster roll."
"Balthazar","It is never easy getting in, but once you are at your table, your cocoon, the charms of Balthazar take over."
"Bar Jamón","Bar Jamón, from Mario Batali and Joseph Bastianich, is a temple to ham, and is true to the boisterous spirit of a Spanish tapas bar."
"Mary's Fish Camp","The short menu sticks to the basics at this spin-off of Pearl Oyster Bar."
"Khao Sarn","This sweet and simple place in Williamsburg seems emblematic of the neighborhood."
"Ellary's Greens","Ellary’s Greens is not so much a restaurant as dining rehab. The menu is devoted to natural and organic foods, and Leith Hill, the owner, is serious about closing the divide between good-for-you and delicious."
"Madangsui","The best of Manhattan's Korean barbecue restaurants."
"Flora Bar","Flora Bar, inside the Met Breuer, is less a restaurant than a wine bar, with small, tidily formal plates and a drinks list as exhaustive as any artist’s career retrospective."
"Scalinatella","Upper East Side Italian, offering an assortment of pasta, fish, chicken and veal dishes."
